Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8
165,1.835514019,3.273764259,3.584313725,3.287878788,0.016806723,3.396135266,2.601328904,0,1.333333333,2.008888889,3.224880383,0,1.697819315,2.03030303,2.625,0,2.849514563,1.503579952,1.435779817,-0.040650407,3.436123348,1.338491296,1.448019802,0.00862069,1.162234043,2.260393873,4.556818182,0,3.436734694,2.702702703,3.131707317,0,1.208489388,3.107744108,1.713362069,0,1.82300885,1.912951168,1.745833333,0
180,1.893457944,3.517110266,3.854901961,3.515151515,0.008403361,3.632850242,2.823920266,0.008474576,1.429378531,2.231111111,3.497607656,0.008403361,1.859813084,2.208333333,2.832142857,0,3.13592233,1.639618138,1.568807339,-0.040650407,3.696035242,1.444874275,1.586633663,0.00862069,1.321808511,2.352297593,4.9375,0,3.681632653,2.945945946,3.448780488,0,1.242197253,3.303030303,1.851293103,0,2.088495575,2.029723992,1.86875,0
195,1.945794393,3.760456274,4.08627451,3.742424242,0.008403361,3.888888889,3.046511628,0,1.536723164,2.493333333,3.779904306,0.008403361,2.040498442,2.424242424,3.028571429,0,3.417475728,1.789976134,1.70412844,-0.032520325,3.955947137,1.551257253,1.73019802,0,1.5,2.435448578,5.318181818,0,3.951020408,3.193050193,3.746341463,0,1.282147316,3.478114478,1.987068966,0,2.367256637,2.144373673,1.979166667,0
210,2.001869159,3.992395437,4.294117647,3.950757576,0.008403361,4.169082126,3.259136213,-0.008474576,2.062146893,2.768888889,4.066985646,0.008403361,2.214953271,2.636363636,3.228571429,0,3.72815534,1.940334129,1.860091743,-0.040650407,4.202643172,1.659574468,1.853960396,0,1.670212766,2.547045952,5.721590909,0,4.212244898,3.444015444,4.068292683,0,1.320848939,3.673400673,2.11637931,0,2.632743363,2.256900212,2.095833333,0
225,2.035514019,4.212927757,4.509803922,4.166666667,0.008403361,4.425120773,3.448504983,0,2.406779661,3.044444444,4.38277512,0.008403361,2.395638629,2.848484848,3.396428571,0,4.063106796,2.090692124,2.016055046,-0.040650407,4.49339207,1.765957447,2.002475248,0,1.832446809,2.63238512,6.0625,0,4.432653061,3.675675676,4.395121951,0,1.362047441,3.888888889,2.245689655,0,2.955752212,2.363057325,2.197916667,0
240,2.042990654,4.418250951,4.701960784,4.367424242,0.008403361,4.666666667,3.627906977,0,3.062146893,3.324444444,4.660287081,0.008403361,2.566978193,3.071969697,3.578571429,0,4.383495146,2.233890215,2.155963303,-0.040650407,4.766519824,1.87040619,2.141089109,0,1.989361702,2.728665208,6.426136364,0,4.657142857,3.915057915,4.72195122,0,1.398252185,4.087542088,2.372844828,0,3.274336283,2.464968153,2.30625,0
255,2.035514019,4.600760456,4.878431373,4.537878788,0.008403361,4.903381643,3.777408638,0,3.615819209,3.586666667,4.971291866,0,2.738317757,3.291666667,3.757142857,-0.008333333,4.665048544,2.372315036,2.298165138,-0.040650407,5.022026432,1.972920696,2.287128713,-0.00862069,2.146276596,2.800875274,6.727272727,0,4.86122449,4.146718147,5.034146341,0,1.435705368,4.259259259,2.482758621,0,3.584070796,2.558386412,2.408333333,-0.008474576
270,2.01682243,4.790874525,5.062745098,4.723484848,0.016806723,5.144927536,3.96345515,0,4.322033898,3.884444444,5.267942584,0.008403361,2.909657321,3.518939394,3.960714286,0,4.970873786,2.496420048,2.426605505,-0.040650407,5.251101322,2.063829787,2.410891089,0,2.308510638,2.886214442,7.051136364,0,5.085714286,4.366795367,5.341463415,0,1.470661673,4.444444444,2.590517241,0,3.898230088,2.64118896,2.495833333,-0.008474576
285,1.957009346,4.939163498,5.223529412,4.878787879,0.008403361,5.342995169,4.109634551,0,4.745762712,4.164444444,5.5215311,0.008403361,3.080996885,3.727272727,4.139285714,0,5.276699029,2.62052506,2.55733945,-0.040650407,5.49339207,2.143133462,2.53960396,0,2.457446809,2.960612691,7.340909091,0,5.273469388,4.590733591,5.634146341,0,1.505617978,4.622895623,2.683189655,0,4.194690265,2.719745223,2.572916667,-0.008474576
300,1.919626168,5.106463878,5.37254902,5.045454545,0.016806723,5.570048309,4.26910299,0,5.367231638,4.466666667,5.822966507,0.008403361,3.239875389,3.935606061,4.303571429,0,5.563106796,2.749403341,2.676605505,-0.040650407,5.704845815,2.220502901,2.668316832,-0.00862069,2.611702128,3.028446389,7.647727273,0,5.457142857,4.795366795,5.917073171,0,1.536828964,4.791245791,2.747844828,0,4.482300885,2.789808917,2.641666667,-0.008474576
