Time,T,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
150,30,0.62346726,0.430958957,0.47428833,-0.006042314,0.663605501,0.700091653,0.909771332,0,0.597451322,0.794243297,0.638626342,0.006079046,0.878019759,0.711700588,0.694924959,-0.006116227,0.828239854,0.486284515,0.494390361,0.035932009,1.021489291,0.965244522,0.90803759,0,0.662431125,0.926762032,0.661865881,0,0.914739141,0.65180584,0.676020216,-0.006079046,0.819298466,0.597064075,0.876342481,0,0.745332934,0.956642027,0.778860699,0,0.542473835,0.682413625,0.690605883,0,0.648411287,0.544204846,0.687996955,-0.006079046
165,30,0.725316463,0.508004747,0.540903079,-0.006042314,0.738343157,0.776668153,1.002700243,0,0.68410903,0.881655235,0.733152515,0.006079046,0.964898431,0.789478289,0.770174122,-0.006116227,0.907682357,0.556243103,0.555577191,0.047628049,1.094555488,1.042060119,0.974818071,0.012048339,0.738372279,1.004053706,0.737441401,0,0.995259518,0.725333867,0.742835414,-0.006079046,0.896488105,0.671952857,0.960073374,-0.006079046,0.828413179,1.024353476,0.859452706,0,0.631818935,0.780010267,0.76888544,-0.006042314,0.710188646,0.617229981,0.752965676,-0.006079046
180,30.1,0.822825004,0.595192663,0.613740403,-0.006042314,0.821528347,0.853747895,1.094995648,0,0.761454299,0.96339085,0.826678573,0.006079046,1.050205193,0.872655796,0.850850262,-0.006116227,0.995893782,0.628833101,0.618315532,0.047628049,1.171466342,1.113393683,1.047078639,0,0.80736515,1.074514737,0.806087592,0,1.075081791,0.806420235,0.812187287,-0.006079046,0.968144093,0.738462377,1.041042437,0,0.905117431,1.089749601,0.937084704,0,0.720111542,0.876358022,0.835994185,-0.006042314,0.777028665,0.681328264,0.824535868,-0.006079046
195,30,0.919362931,0.691385066,0.689323084,-0.006042314,0.901107555,0.937663486,1.190525391,0,0.83881542,1.03517639,0.915474072,0.006079046,1.128803261,0.953781341,0.92831776,-0.006116227,1.090244039,0.703197516,0.691578553,0.041797129,1.245215763,1.182085531,1.118951973,0,0.886674989,1.149905583,0.883887308,0,1.147771525,0.886569923,0.884858478,-0.006079046,1.038979239,0.808720271,1.11937428,0,0.983801023,1.153917134,1.016188885,0,0.811287423,0.965589155,0.913240399,0,0.83832919,0.756379366,0.901107555,-0.006079046
210,30,1.012998536,0.795157019,0.7720148,-0.006042314,0.978686548,1.02011697,1.269638848,0,0.913716728,1.110363305,1.00003146,0.006079046,1.203972804,1.031490325,0.997591886,-0.006116227,1.168715654,0.784777503,0.756901695,0.053425167,1.317156887,1.255214551,1.182861101,0.006042314,0.964233223,1.218898455,0.958850346,0,1.225825313,0.959576977,0.955511445,-0.006079046,1.10512697,0.87344314,1.197307282,-0.006079046,1.062244644,1.214214298,1.094713648,0,0.896153644,1.052487608,0.983047603,-0.006042314,0.899907253,0.818156725,0.956564631,-0.006079046
225,30,1.106275161,0.917698192,0.850020432,-0.006042314,1.063765557,1.102090553,1.348588745,0,0.983396649,1.177016994,1.082151012,0.012121361,1.272812407,1.099859949,1.067284426,-0.006116227,1.239408892,0.855918603,0.829222357,0.053425167,1.379184123,1.316933233,1.249823231,0.012048339,1.036206722,1.285518142,1.035039485,0,1.291855894,1.028728945,1.025568095,-0.006079046,1.16455039,0.936828924,1.266652081,-0.006079046,1.132425653,1.271081549,1.167518689,-0.006042314,0.971947483,1.132434755,1.047408045,-0.006042314,0.954308799,0.887149597,1.023977307,-0.012195273
240,30.1,1.186904896,1.033134359,0.934445542,0,1.131181141,1.178922985,1.407723753,0,1.045829589,1.244624572,1.166970038,0,1.343234872,1.173166033,1.132434755,-0.006116227,1.296682202,0.93298561,0.903037146,0.059188871,1.442383828,1.374193954,1.307036163,0.012048339,1.104525966,1.348951583,1.105832537,0,1.360777766,1.095492161,1.102378771,-0.006079046,1.220639857,0.992352014,1.333343455,0,1.202781619,1.328010747,1.231981541,-0.006042314,1.046924038,1.20858847,1.104516987,-0.006042314,1.005902891,0.951688118,1.07901512,-0.012195273
255,30.1,1.268030441,1.135482824,1.016446889,-0.006042314,1.216902552,1.255248677,1.47021734,0,1.107994021,1.306029998,1.247501337,0.012121361,1.407148197,1.240380576,1.197904608,-0.006116227,1.351776856,1.006998971,0.968210789,0.064919546,1.501825651,1.429176089,1.36553237,0.012048339,1.17508993,1.410436666,1.174185715,0,1.414949617,1.159053643,1.167856701,-0.006079046,1.273749682,1.046505372,1.394997636,0.006042314,1.271853947,1.37965472,1.293607197,-0.006042314,1.116669072,1.276376223,1.161722125,-0.006042314,1.062553239,1.017989198,1.153039935,-0.006079046
270,30.1,1.340049033,1.226257849,1.098612289,-0.006042314,1.288326543,1.323380536,1.522754673,0,1.168918208,1.372008404,1.317665855,0.012121361,1.462794107,1.30234265,1.261368438,-0.006116227,1.390748711,1.078203417,1.039423417,0.064919546,1.556225027,1.478945589,1.419967576,0.012048339,1.237909943,1.465758532,1.241310475,0,1.476127979,1.221574,1.232615268,-0.006079046,1.324180536,1.097139534,1.453887652,-0.006079046,1.336461987,1.426645657,1.354671173,-0.006042314,1.183835716,1.337993401,1.213571261,-0.006042314,1.110005472,1.088992626,1.211818657,-0.006079046
285,30.1,1.41192462,1.299922984,1.173356191,-0.006042314,1.355870459,1.398415722,1.574913735,0.024541109,1.222564961,1.426264929,1.388333098,0.006079046,1.51886744,1.365479986,1.316284196,-0.006116227,1.438480114,1.14681439,1.099656675,0.064919546,1.611056036,1.523363304,1.473163034,0.012048339,1.3018678,1.521469139,1.307157041,0,1.52622481,1.277813718,1.295502261,-0.006079046,1.370768291,1.141110582,1.507954874,-0.006079046,1.402042718,1.468822665,1.415059528,0,1.24862027,1.401305681,1.262864064,-0.006042314,1.16802174,1.139538716,1.278838806,-0.012195273
